,Car,Make,Model,Year,Price,Milage,MPG,Expected Car Life (Yr),Gas Cost Per Year,Loan,Cost Per Mile,Cost Per Year,Views Count,Favorite Count,Favorite to Views Ratio,Link,Description
270,2003 Saturn Ion        ,Saturn,Ion,2003,3000.0,157484,24.0,1.2255213228010464,802.0833333333334,0.0,0.09368167813678002,3250.0211571675304,14.0,0.0,0.0,https://cars.ksl.com/listing/6149245?ad_cid=7,       Great car  Runs great  Good for a first time driver     
3033,2012 Chevrolet Traverse LTZ        ,Chevrolet,Traverse,2012,10400.0,124928,19.0,1.544889856557377,1013.1578947368421,6400.0,0.16306896565768694,7924.133450609663,147.0,6.0,0.04081632653061224,https://cars.ksl.com/listing/6064213?ad_cid=9,       2012 LTZ Traverse in very good condition  Does great in the snow  Leather interior  Heated front seats  Dual zone temperature control  Backup camera on rear view mirror  Remote control start  Power lift gate  Tires only 8 months old     
3343,2009 Ford Mustang GT Premium        ,Ford,Mustang,2009,13000.0,40000,18.0,4.825,1069.4444444444446,9000.0,0.11593233277451127,3844.388237082239,2192.0,45.0,0.02052919708029197,https://cars.ksl.com/listing/5907555?ad_cid=23,       2009 Ford Mustang GT Clean title with 39 688 miles  Custom car with custom paint job  Lots of extras  Asking  13 000  Any questions text Blake at  435 512 9420    
2084,2010 Chevrolet Tahoe Z71        ,Chevrolet,Tahoe,2010,13200.0,152000,17.0,1.269736842105263,1132.3529411764705,9200.0,0.31324043329697654,11841.462183081561,148.0,5.0,0.033783783783783786,https://cars.ksl.com/listing/6051665?ad_cid=14,       Very clean Tahoe  Z71 trim with navigation  DVD rear entertainment  rear bucket seats  moon roof and Michelin tires with a lot of life left     
1282,2015 Mazda CX-5 Grand Touring        ,Mazda,CX-5,2015,15500.0,66471,29.0,2.903521836590393,663.7931034482758,11500.0,0.13423695196594929,6173.373912045388,26.0,1.0,0.038461538461538464,https://cars.ksl.com/listing/6138703?ad_cid=5,       2015 Mazda CX 5 Grand Touring with the Technology package   The vehicle has about 66 500 miles on it and has a clean title  Tan heated leather seats with black carpet  navigation  Bose Sound  sunroof   the car is fully loaded  Tires have a good amount of life still on them and service has been regularly preformed on this vehicle    Call or Text for more information     
1019,2013 Dodge Dart SXT        ,Dodge,Dart,2013,2000.0,60000,29.0,3.216666666666667,663.7931034482758,0.0,0.02953715106732348,1285.5547614793638,20938.0,54.0,0.002579042888528035,https://cars.ksl.com/listing/5554348?ad_cid=22,       2013 Dodge Dart   been in a accident   see pictures   Clean Utah tile   car starts with a jumper   Call or text  801 573 3597    
1288,1990 Jeep Wrangler Wrangler X        ,Jeep,Wrangler,1990,4700.0,140000,16.0,1.3785714285714286,1203.125,700.0,0.10648095631413731,4634.404316262971,302.0,15.0,0.04966887417218543,https://cars.ksl.com/listing/6138669?ad_cid=13,       1990 Jeep Wrangler YJ Clean and Shiny inside and out with fully rebuilt engine with less than 4000 miles   New clutch with heavy duty slave cylinder  New Exhaust that passes emissions   Hard top that also come with full soft top and bikini top  KC lights on front bumper   BF Goodrich tires     
1350,2012 Chevrolet Malibu        ,Chevrolet,Malibu,2012,4000.0,123488,26.0,1.5629048976418762,740.3846153846154,0.0,0.06740316213826997,3299.7214029493816,136.0,5.0,0.03676470588235294,https://cars.ksl.com/listing/6138261?ad_cid=12,       Got a new vehicle  don t need this one anymore  Recently services and well maintained  4000 OBO     
2697,2003 BMW Z4        ,BMW,Z4,2003,9950.0,115000,21.0,1.6782608695652175,916.6666666666666,5950.0,0.13818407814484096,6998.701367180416,227.0,4.0,0.01762114537444934,https://cars.ksl.com/listing/6075208?ad_cid=20,       A wonderful running car that turn people s heads  Someone hit the side and dented the quarter panel and door but has been repaired  It has new over sized racing tires  gorgeous mags  best BMW radio and CD and other extras such as a sports button on the console that increases power and speed  Has a newer battery  tune up and starter motor  Current NADA 8 000  The car has many options not considered in the NADA book  Health conditions has caused the need for immediate sale  The book has actually increased over the last 3 months     
1705,2013 Ford Edge Limited        ,Ford,Edge,2013,13500.0,81667,22.0,2.363255660180979,875.0,9500.0,0.13503054414140145,6761.252982108933,58.0,2.0,0.034482758620689655,https://cars.ksl.com/listing/6134226?ad_cid=16,       2013 Limited Ford Edge  All wheel drive  great in the snow  Runs and drives excellent  Extras include  navigation  backup camera  all weather  WeatherTech  floor mats  cruise control  Bluetooth pairing  and 20  wheels  Call or text if you are interested     
1766,2011 Honda Accord EX-L Navi        ,Honda,Accord,2011,7800.0,151177,23.0,1.276649225742011,836.9565217391304,3800.0,0.18501092039302025,7075.3876509018455,169.0,2.0,0.011834319526627219,https://cars.ksl.com/listing/6133620?ad_cid=14,       Great car  never had any issues with it  Tires are just over a year old  Majority of miles are freeway miles as we have driven this car across the country several times  Some features of the car include   Traction Control  Multidisc CD Player  Bluetooth Wireless  Heated Leather Seats  Dual Power Seats  Keyless Entry  Anti theft System  Moon Roof  XM Capabilities  Cruise Control  Navigation Please call or text with any additional questions     
514,2014 Ford Explorer Sport        ,Ford,Explorer,2014,19500.0,102000,19.0,1.892156862745098,1013.1578947368421,15500.0,0.2253793558549153,11673.015757128152,75.0,2.0,0.02666666666666667,https://cars.ksl.com/listing/6146640?ad_cid=2,       Selling our AMAZING family vehicle  Its packed with features including dual TVs on the back of the front and passenger seats  back up camera  double sun roof  tint including a nice tint on the windshield for driver and passenger  Does great on gas  brand new rotors and brakes and tires  with nice rims   Serviced and maintained at the Ford dealership regularly  This vehicle has really exceeded our expectations as far as capabilities and space and I m super sad to sell it  but we need a downgrade   Feel free to text or call to test drive or need more information    also sorry for the terrible picture quality  I had a hard time uploading the correct size  can and will send more pictures at request      
2000,2003 Ford F-150 Lariat        ,Ford,F-150,2003,8250.0,155000,13.0,1.2451612903225806,1480.7692307692307,4250.0,0.22838977748708664,8253.982891048856,128.0,6.0,0.046875,https://cars.ksl.com/listing/6138273?ad_cid=12,       NEED GONE ASAP  Make me an offer  Just bought a new truck and need this one to be gone    2 owner   Clean title   Over  13 000 in extras   2003 Ford F 150 Lariat  154 000 miles  This truck has been amazing  runs great and looks great  Extras include   1  Alpine navigation  Bluetooth  dvd  smartphone capable sound system  2  4 new speakers in each door 3  Two 10 inch subs in a custom box under the back seats 4  HEATED leather seats  5  Towing mirrors with blinkers 6  Halo LED headlights  7  18 000 lb wench 8  52 inch LED light bar  9  36 inch LED light bar 10  High boy jack 11  CTC lockable shell  12  Tool box 13  6 inch lift kit 14  Vision 18 inch rims 15  Full leather interior 16  Power windows and mirrors 17  Remote start   This truck has been awesome for me  tows well  easy to drive  mechanically sound  Please call or text with any questions offers   801 888 1151 Hunter Albert    
1702,2006 Volvo S60 2.3L Turbo        ,Volvo,S60,2006,2250.0,133000,22.0,1.4511278195488722,875.0,0.0,0.05253338570306363,2425.518134715026,987.0,7.0,0.0070921985815602835,https://cars.ksl.com/listing/6039202?ad_cid=13,       2006 Volvo S60 Turbo MECHANIC s SPECIAL   Blown engine  This car looks great on the outside and super clean on the inside  Unfortunately we do not have the time to deal with this car at the moment  133k miles Turbo Clean carfax  Blue leather interior Pioneer head unit Leather steering wheel Power sunroof Power seats    
292,2010 Chrysler 300 Touring        ,Chrysler,300,2010,3800.0,90555,19.0,2.1313014190271105,1013.1578947368421,0.0,0.05445059033077026,2796.1060812653395,153.0,3.0,0.0196078431372549,https://cars.ksl.com/listing/6149132?ad_cid=22,       Selling 2010 Chrysler 300 touring  As you can see very good condition  I am selling the rims and tires as well with the original set that it came with     
1304,2013 Ford F-150 FX4        ,Ford,F-150,2013,26500.0,94500,19.0,2.0423280423280423,1013.1578947368421,22500.0,0.28001858083810893,14464.845835806926,33.0,1.0,0.030303030303030304,https://cars.ksl.com/listing/6138589?ad_cid=12,       This truck is in great shape  and has served our family well  I am selling to downsize into an SUV or 4runner  The truck is absolutely loaded  and has every feature you can add to an FX4  Heated and cooled leather seats  navigation  bluetooth  factory upgraded stereo with amplifier  sun roof  cruise control  hill control descent  trailer brakes  and more   I replaced the shocks with Bilstein 5100 shocks that provide a 2  front leveling kit and aligned it less than 500 miles ago  It also has a Ford folding tonneau cover  The wheels have been upgraded from the newer style Sport F 150  and the tires have plenty of tread  This is a great truck that you will want to check out  Located in Kaysville and driven to SLC daily  Call or text Scott at 801 643 3337     
373,2006 Ford Escape XLT        ,Ford,Escape,2006,4000.0,129558,20.0,1.4896802976273176,962.5,0.0,0.07713888428020631,3647.6398963730567,104.0,2.0,0.019230769230769232,https://cars.ksl.com/listing/6148576?ad_cid=3,       This is a fantastic vehicle  I drove it between home in Bountiful and work at the University of Utah for several years  About 1 5 years ago I moved to LA and left the vehicle in Utah  It was used only when I came back to visit  As such  it sat not being driven for quite a while  As such  there are a few things that need to be fixed  Great features  Miles  129558 All wheel drive About 28 mpg New tires New battery New stereo Given the nature of the two fixes  it will cost some to fix  As such I priced it less than I would have  Muffler is a definite must  Stop safely now  has been initiated  This is different than the check engine light  It prevents the car from being started  until it is cleared by the dealership  I had this happen before and replaced the electric motor cooling pump  If you buy this car  you will need to tow it to the dealership to get it fixed  Given that I live out of state  I am not willing to take care of the fixes myself     
2760,2013 Ram 1500        ,Ram,1500,2013,15400.0,146300,19.0,1.3192071086807928,1013.1578947368421,11400.0,0.32084599459263,13060.443501440546,204.0,7.0,0.03431372549019608,https://cars.ksl.com/listing/6029424?ad_cid=1,          PRICE REDUCED    2013 Ram 1500 Laramie 4x4   I have loved this truck and hate to get rid of it   Runs like new  no leaks or drive train issues   Great condition aside from one scratch on the front plastic   New battery and new tires   Options include remote start  heated and cooled leather seats  heated steering wheel  dual climate  folding console  Stock Alpine sound with sub  much more   Leveling kit on the front and airbags on the rear installed by Doug Smith Dodge   Clean inside and out   Clean Title in hand  call or text Dan 801 503 4275 No scams or salespeople please    
2994,2015 Subaru Forester 2.5i Premium        ,Subaru,Forester,2015,16000.0,52000,27.0,3.7115384615384617,712.9629629629629,12000.0,0.12949320624769778,5163.625467783845,563.0,22.0,0.03907637655417407,https://cars.ksl.com/listing/5997370?ad_cid=22,       Super clean Forester with 100k mile extended warranty that is transferable   The extended warranty cost  2000  New Brakes and Rotors Fresh Oil and Coolant    
1268,2011 Honda Accord EX        ,Honda,Accord,2011,8500.0,100000,23.0,1.93,836.9565217391304,4500.0,0.10309877986695201,5341.905692588187,97.0,0.0,0.0,https://cars.ksl.com/listing/6138815?ad_cid=10,       2 4L 4 Cyl Traction Control Stability Control ABS  4 Wheel  Anti Theft System Keyless Entry Air Conditioning Power Windows Power Door Locks Cruise Control Power Steering Tilt   Telescoping Wheel AM FM Stereo Cassette CD MP3  Single Disc  CD MP3  Multi Disc  Dual Air Bags Side Air Bags F R Head Curtain Air Bags Power Seat Moon Roof Daytime Running Lights Alloy Wheels Text me for more info   we have special credit offers      
1348,2000 Ford Ranger XLT        ,Ford,Ranger,2000,5300.0,145000,22.0,1.3310344827586207,875.0,1300.0,0.11856107371928222,4899.090999540289,318.0,21.0,0.0660377358490566,https://cars.ksl.com/listing/6138266?ad_cid=8,       2000 Ford Ranger XLT   4 wheel drive  4 0L V6  bed liner  power windows and locks  tow package   Been a great truck   The 4 wheel drive is excellent for winter driving   I have owned it for 11 years   It has been very reliable and runs great   Only selling because I ve decided to purchase a new truck   Text or call for more info or to come see the tuck     
3005,2013 GMC Yukon Denali        ,GMC,Yukon,2013,19000.0,110000,17.0,1.7545454545454546,1132.3529411764705,15000.0,0.24039190042605135,12330.983493357036,573.0,17.0,0.029668411867364748,https://cars.ksl.com/listing/5928577?ad_cid=17,       Great Yukon Denali  Clean title in hand  Arizona car so body is in great shape  New shocks in back  new brakes  fresh oils  Perfectly maintained   Great car inside and out     
354,2010 Ford Ranger        ,Ford,Ranger,2010,9750.0,72250,17.0,2.671280276816609,1132.3529411764705,5750.0,0.10194462757158919,4875.349953090907,165.0,5.0,0.030303030303030304,https://cars.ksl.com/listing/6148693?ad_cid=4,       Hard to find 5 speed manual  Ranger  with very LOW MILES at 2K below KBB  Help me help you  this truck will sell for around  12k once a dealership gets a hold of it  No low balls  I have a offer from a dealership in hand  Features   Brand new BOSS touch screen radio with back up camera    Tow package dual exhaust    Coated truck bed    Recent 27 point inspection completed at a Ford dealership  paperwork available     New Battery  All factory recalls updated  Truck shell with keys and ladder rack included    
3828,2015 Ford Explorer XLT        ,Ford,Explorer,2015,15500.0,83000,19.0,2.325301204819277,1013.1578947368421,11500.0,0.15686397830363089,7892.777685526215,260.0,16.0,0.06153846153846154,https://cars.ksl.com/listing/6093842?ad_cid=15,       This is a great vehicle  fun to drive with AWD and heated seats   great for winter weather   Metallic Gray exterior and black cloth interior  Sync entertainment system with USB or Bluetooth connectivity   Has all weather mats including one for back cargo area   Seats up to 7 passengers   Clean title   No known defects   Let me know if you have any questions or would like to come take a look   Please text     
365,2012 Subaru Outback        ,Subaru,Outback,2012,7000.0,151500,20.0,1.273927392739274,962.5,3000.0,0.1722856985980207,6559.130786909878,23.0,0.0,0.0,https://cars.ksl.com/listing/6151013?ad_cid=17,       Awesome car  Have had this since 2013  I had the timing belt and pump changed at 100 000 miles  plus kept up on oil changes and fluid flushes  There are a few scratches on the outside and the passenger vents are gone  There are no other known problems  Just put on new tires from Costco that have a 60k warranty on them     
2943,1997 Ford F-250        ,Ford,F-250,1997,5000.0,129000,14.0,1.496124031007752,1375.0,1000.0,0.10000569433990343,4745.8660852807025,614.0,25.0,0.04071661237785016,https://cars.ksl.com/listing/6115585?ad_cid=22,        5000 OBO Great truck  it runs good  Tires are in good condition  and has a new clutch  Has a fifth wheel hitch  bed liner  dual tanks  Call or text Bryan  208  847 5086    
1421,2008 Toyota RAV4        ,Toyota,RAV4,2008,6800.0,151499,21.0,1.273935801556446,916.6666666666666,2800.0,0.1667765406930379,6349.4792989335965,324.0,9.0,0.027777777777777776,https://cars.ksl.com/listing/6096700?ad_cid=2,       Great little SUV  Gets good gas mileage  Exterior and interior are in great shape  There s a few little scratches but nothing crazy  I recently did new brake pads  has a new battery  Just did an oil change on it as well  This car runs great  We haven t had any issues with it  My wife and I work at the same place same schedule so we just don t need a second car sitting around     
1010,2008 Jeep Wrangler        ,Jeep,Wrangler,2008,27500.0,116000,16.0,1.6637931034482758,1203.125,23500.0,0.3633064801402035,18342.271204591412,67.0,0.0,0.0,https://cars.ksl.com/listing/6142624?ad_cid=10,       2008 Jeep Wrangler  Adventure V8 Jeep capable and setup for Daily Driver  Overland  Rock Crawl  Trailer Towing  and being towed  The Jeep has pulled a 24FT 5500 pound Travel Trailer on 1000 mile trips and been towed behind a motorhome extensively and has been my daily driver for the last 3 years   Total odometer miles 116300 on the body and frame  26000 miles on complete drive train replacement 6 0L GM V8 L96 truck engine out of 2014 Chevy Truck 3500 Miles GM 6L80 6 speed Automatic Trans out on 2014 Cadillac Escalade 1500 Miles Motech Conversion Wiring  GM ECM  brackets  cruise control  and tap shift  Black Bear Custom Tune Motor and Transmission Jeep 241 Transfer Case Rebuilt Ron Davis Custom Radiator Duel Pass  and Cowl  for off road racing Dodge Hall Cat Duel Radiator Cooling Fans  two speed Oversized stacked plate Transmission and Motor oil Coolers Extra cooling for Trailer Towing Spartan 4  custom air intake  K N filter  custom cold air box with hood scoop PSC power steering pump  reservoir  and cooler Optima Red top 1 year old relocated to rear Air compressor  tank Air Conditioner Pump  Condenser  replaced Front End Rubicon 44 sleeved and gusseted Oxo locker air actuated  4 56 Gears new in last year Tom Woods drive shift 1310 joint Rear End Currie Ford 9  fabricated housing  nodule Iron center  with bullet input ARB Locker  4 56 Gears 35 Spline Chrome Moly Axles Tom Wood Drive shift 1350 joints Front   Rear  Dynatrac  ProGrip  Big Brake Metal Cloak adjustable control arms  dual rate springs Fox 2 0 Performance Series Reservoir shocks with Speed Adjuster  BFG KO2 Tires 35X12 5X17 New 500 Miles   Trailer Towing Class 3 Receiver Hitch when used with weight distributing Removable HD Receiver Extension 7 Way Trailer Plug Tekonsha Electronic Brake Control 125hp Bully Chip    
3638,1995 Buick LeSabre Custom        ,Buick,LeSabre,1995,500.0,153181,20.0,1.2599473825082745,962.5,0.0,0.03658128870040399,1359.341968911917,504.0,20.0,0.03968253968253968,https://cars.ksl.com/listing/6098114?ad_cid=13,       1995 BUICK CUSTOM LE SABRE  4 DOOR  RUNS GREAT DRIVES GREAT  HAS GOOD TIRES HEATER AND A C WORK  POWER EVERYTHING  TIRES ARE OK  LOW MILES  GOOD LITTLE CAR  HAS A CLEAN TITLE  CALL BRIAN 435 843 0075     
1608,2013 Ram 1500 Adventurer        ,Ram,1500,2013,17500.0,68000,19.0,2.838235294117647,1013.1578947368421,13500.0,0.1587820923831218,7384.601353527985,154.0,3.0,0.01948051948051948,https://cars.ksl.com/listing/6136074?ad_cid=16,       Dodge Ram 2013 with low miles   68 000  Four wheel drive with flex fuel  Bluetooth  AM   FM Serious radio  short bed with liner  Has the Dodge small V 8 gas engine      
1274,2005 Honda Civic        ,Honda,Civic,2005,500.0,160000,30.0,1.20625,641.6666666666667,0.0,0.03185026041666667,1056.174438687392,1114.0,28.0,0.025134649910233394,https://cars.ksl.com/listing/6138771?ad_cid=18,       IT needs a transmission everything its in a verry good shape any questions you can call me at 801 9185489    
3508,2010 Mazda Mazdaspeed3        ,Mazda,Mazdaspeed3,2010,10000.0,117624,21.0,1.6408216010338026,916.6666666666666,6000.0,0.14280238176895244,7169.2675140232295,2818.0,54.0,0.0191625266146203,https://cars.ksl.com/listing/5884960?ad_cid=11,       Well i am very sad to see this car go  but i recently bought a new truck and cant keep both  This car has been nothing but good to me and i never had any problems with it and it has been very fun  The car is stock other than it has a cold air intake and turbo inlet pipe  a Cat back straight pipe exhaust with an axle dump  and aftermarket headlights  Just replaced the front 2 tires and the rear tires have phenomenal tread  If you have any questions send me a text preferably  and i would be more than happy to answer  Title in hand  No test drives without proof of payment  If no proof is possible i can give you a ride along in the car     
17,2003 Mazda Protege LX        ,Mazda,Protege,2003,3200.0,103000,24.0,1.8737864077669903,802.0833333333334,0.0,0.048483843792746804,2509.855354058722,31.0,0.0,0.0,https://cars.ksl.com/listing/6151012?ad_cid=6,       Great running car kind of dusty because it has sat here for for a few months car has brand new tires and is super clean call if you want to know more about it    
1294,2005 Ford F-150 Lariat        ,Ford,F-150,2005,7995.0,150102,14.0,1.2857923278837058,1375.0,3995.0,0.1991198706171098,7727.284638885467,111.0,6.0,0.05405405405405406,https://cars.ksl.com/listing/6138617?ad_cid=23,       up for Sale 2005 Lariat F 150 Runs awesome  4x4  leather heated seats  bed liner  tow package  Good tires lots of tread  V8 Call or text Dave 435 862 3202    
1184,2014 Chevrolet Traverse LTZ        ,Chevrolet,Traverse,2014,17500.0,87000,19.0,2.218390804597701,1013.1578947368421,13500.0,0.17992244120801607,9164.857614072569,234.0,6.0,0.02564102564102564,https://cars.ksl.com/listing/6031239?ad_cid=23,        PRICE REDUCED  Brand new tires Brand new battery Brand new struts  Selling our Traverse LTZ to get something a bit bigger for our growing family  Love the pass through captain seat in the middle to access the third row  the dvd entertainment system  Bluetooth audio  gps  backup camera  and many more features  Unique light brown interior leather with heat and cool seats and nice sunroof  Great overall condition  Most of the miles are from road trips to Phoenix  Denver and California  Text with any questions or offers  Thanks    
